dei	deus
manebit	maneo
samaritidi	samaritido
ostendit	ostendo
messiam	messia
christus	christus
filium	filius
patrem	pater
demonstravit	demonstro
alibi	alibi
christus	christus
dei	deus
filius	filius
pater	pater
exinde	exinde
discipulis	discipulus
voluntatem	uoluntas
misit	mitto
consummem	consummo
opus	opus1
iudaeos	Iudaei
paralytici	paralyticus
sanitate	sanitas
pater	pater
operatur	operor
operor	operor
pater	pater
filius	filius
iudaei	Iudaei
interficere	interficio
volebant	uolo3
solveret	soluo
sabbatum	sabbatum
patrem	pater
deum	deus
aequans	aequo
deo	deus
filius	filius
semetipso	sui
{semetipso}	ipse
patrem	pater
filius	filius
pater	pater
diligit	diligo3
filium	filius
demonstravit	demonstro
maiora	magnus
opera	opus1
demonstravit	demonstro
miremini	miror
suscitat	suscito1
mortuos	mortuus1
vivificat	uiuifico
filius	filius
vult	uolo3
vivificat	uiuifico
pater	pater
iudicat	iudico
iudicium	iudicium
filio	filius
honorent	honoro
filium	filius
honorant	honoro
patrem	pater
honorat	honoro
filium	filius
honorat	honoro
patrem	pater
filium	filius
misit	mitto
amen	amen
amen	amen
audit	audio
sermones	sermo
meos	meus
credit	credo
misit	mitto
vitam	uita
aeternam	aeternus
iudicium	iudicium
veniet	uenio
transit	transeo1
morte	mors
vitam	uita
amen	amen
veniet	uenio
hora	hora
mortui	mortuus2
audient	audio
vocem	uox
filii	filius
dei	deus
audierint	audio
vivent	uiuo
pater	pater
vitam	uita
aeternam	aeternus
semetipso	sui
{semetipso}	ipse
filio	filius
vitam	uita
aeternam	aeternus
semetipso	sui
{semetipso}	ipse
iudicium	iudicium
potestate	potestas
filius	filius
hominis	homo
carnem	caro1
filius	filius
dei	deus
spiritum	spiritus
adicit	adicio
maius	magnus
ioannis	Ioannes
testimonium	testimonium
opera	opus?
pater	pater
consummare	consummo
testimonium	testimonium
perhibent	perhibeo
pater	pater
miserit	mitto
misit	mitto
pater	pater
testimonium	testimonium
subiungens	subiungo
vocem	uox
audistis	audio
unquam	umquam
formam	forma
confirmat	confirmo
retro	retro1
patrem	pater
filium	filius
audiebatur	audio
veni	uenio
patris	pater
nomine	nomen
recepistis	recipio
filius	filius
dei	deus
regis	rex
domini	dominus
omnipotentis	omnipotens
altissimi	altus
nomine	nomen
interrogantibus	interrogo
debeant	debeo
respondit	respondeo
credatis	credo
deus	deus
misit	mitto
panem	panis
adfirmat	affirmo
pater	pater
praestaret	praesto1
caelo	caelum1
pater	pater
venire	uenio
reiecturum	reicio
caelo	caelum1
descendisset	descendo
patris	pater
voluntatem	uoluntas
voluntatem	uoluntas
patris	pater
filium	filius
crediderit	credo
vitam	uita
resurrectionem	resurrectio
consequatur	consequor
porro	porro
venire	uenio
pater	pater
adducat	adduco
patre	pater
audisset	audio
didicisset	disco
venire	uenio
patrem	pater
adiciens	adicio
ostenderet	ostendo
patris	pater
sermonem	sermo
docti	doceo
discedunt	discedo1
apostolis	apostolus
offert	offero
velint	uolo3
discedere	discedo1
respondit	respondeo
simon	simon
petrus	Petrus
discedimus	discedo1
verba	uerbum
vitae	uita
credimus	credo
christus	christus
patrem	pater
patris	pater
christum	christus
doctrinam	doctrina
mirabantur	miror
patris	pater
aeque	aeque
ambigentibus	ambigo
christus	christus
pater	pater
filius	filius
nescitis	nescio
veni	uenio
verus	uerus
misit	mitto
nostis	nosco
novi	nouus
misi	mitto
misit	mitto
misissent	mitto
invadendum	inuado2
pharisaei	Pharisaeus
modicum	modicus
temporis	tempus1
vado	uadum
misit	mitto
negat	nego
misit	mitto
pater	pater
duos	duo
demonstrat	demonstro
duos	duo
inseparatos	inseparatus
totum	totus
docebat	doceo
inseparatos	inseparatus
duos	duo
siquidem	siquidem
legem	lex
proponens	propono
duorum	duo
hominum	homo
testimonium	testimonium
confirmantem	confirmo
subiungit	subiungo
testimonium	testimonium
testimonium	testimonium
