pedibus	pes
diogenes	diogens
superbos	superbus2
platonis	platon
toros	torus
superbia	superbia
deculeat	deculeo
christianus	christianus1
pauperem	pauper
superbit	superbio
modestia	modestia
certem	certe
pythagoras	Pythagoras
thurios	thurius
zenon	zenus
prienenses	prienensis
tyrannidem	tyrannis
adfectant	affecto
christianus	christianus1
aedilitatem	aedilitas
aequanimitate	aequanimitas
congrediar	congredior
lycurgus	lycurgus
apocarteresin	apocarteresis
optavit	opto
leges	lex
lacones	laco
emendassent	emendo
christianus	christianus1
damnatus	damno
gratias	gratia
agit	ago
fide	fides2
conparem	comparo2
anaxagoras	anaxagora
depositum	depositum
hospitibus	hospes
denegavit	denego
christianus	christianus1
fidelis	fidelis2
vocatur	uoco
simplicitate	simplicitas
consistam	consisto
aristotcles	aristotclis
familiarem	familiaris2
hermian	hermia
{hermian}	ne2
turpiter	turpiter
loco	locus
excedere	excedo1
christianus	christianus1
inimicum	inimicus1
laedit	laedo
aristoteles	aristoteles
turpiter	turpiter
alexandro	alexander
regendo	rego
adolatur	adolo
plato	plato
dionysio	dionysius
ventris	uenter
gratia	gratia
vcnditatur	ucndito
aristippus	aristippus
purpura	purpura
magna	magnus
gravitatis	grauitas
superficie	superficiens
nepotatur	nepoto
hippias	hippias
civitati	ciuitas
insidias	insidiae
disponit	dispono
occiditur	occido2
atrocitate	atrocitas
dissipatis	dissipo
unquam	umquam
temptavit	tento
christianus	christianus1
excedere	excedo1
regula	regula
disciplinae	disciplina
desinunt	desino
christiani	christianus1
philosophi	philosophus1
nomine	nomen
honore	honor
sapientiae	sapientia
perseverant	perseuero
simile	similis
philosophus	philosophus1
christianus	christianus1
graeciae	Graecia
discipulus	discipulus
caeli	caelum1
famae	fama
negotiator	negotiator
vitae	uita
verborum	uerbum
operator	operator
aedificator	aedificator
destructor	destructor
amicus	amicus1
inimicus	inimicus1
erroris	error
veritatis	ueritas
interpolator	interpolator
intcgrator	intugrator
expressor	expressor
furator	furator
custos	custos
antiquior	antiquus
veritas	ueritas
fallor	fallo
proficit	proficio
antiquitas	antiquitas
praestructa	praestruo
divinae	diuinus2
litteraturae	litteratura
facile	facile
credatur	credo
thesaurum	thesaurus
posteriori	posterus
sapientiae	sapientia
onus	onus
voluminis	uolumen
temperarem	tempero
excurrerem	excurro
probationem	probatio
poetarum	poeta
sophistarum	sophistes
prophetarum	propheta
fonte	fons
potaverit	poto
philosophi	philosophus1
sitim	sitis
ingenii	ingenium
ligaverunt	ligo2
conparent	comparo?
opinor	opinor
philosophia	philosophia
eiecta	eicio
thebaeis	thebaeus
spartiatis	spartio
argivis	argiuis
conantur	conor
homines	homo
gloriae	gloria
eloquentiae	eloquentia
solius	solius
libidinosi	libidinosus
sanctis	sanctus
scripturis	scriptura
offenderunt	offendo
digestis	digero
proprio	proprius
instituto	institutum
curiositatis	curiositas
propria	proprius
opera	opus1
verterunt	uerto
credentes	credo
divina	diuinus2
interpolarent	interpolo
intellegentes	intelligo
subnubila	subnubilus
iudaeis	Iudaei
obumbrata	obumbro
propria	proprius
simplicitas	simplicitas
veritatis	ueritas
scrupulositas	scrupulositas
humana	humanus
fidem	fides2
aspernata	aspernor
mutabat	muto2
incertum	incertus
miscuerunt	misceo
invenerant	inuenio
certum	certus
inventum	inuenio
solummodo	solummodo
deum	deus
invenerant	inuenio
disputaverunt	disputo
qualitate	qualitas
natura	natura
sede	sedes
disceptent	discepto
incorporalem	incorporalis
adseverant	asseuero
corporalem	corporalis
platonici	platonicus
stoici	stoicus
atomis	atomus
numeris	numerus
epicurus	epicurus
pythagoras	Pythagoras
igni	ignis
heraclito	heraclitos
platonici	platonicus
curantem	curo
epicurei	epicureus
otiosum	otiosus
inexercitum	inexercitus
humanis	humanus
positum	pono
mundum	mundus1
stoici	stoicus
figuli	figulus
extrinsecus	extrinsecus
torqueat	torqueo
molem	moles
mundum	mundus1
platonici	platonicus
gubernatoris	gubernator
exemplo	exemplum
maneat	maneo
regat	rego
mundo	mundus1
natus	nascor
innatusve	innascor
{innatusve}	ue
decessurus	decedo1
mansurusve	maneo
{mansurusve}	ue
variant	uario
animae	anima
statu	status1
divinam	diuinus2
aeternam	aeternus
dissolubilcm	dissolubilcis
contendunt	contendo
sensit	sentio
intulit	infero
reformavit	reformo
mirum	mirus
vetus	uetus
instrumentum	instrumentum
ingenia	ingenium
philosophorum	philosophus1
interverterunt	interuerto
semine	semen1
novitiolam	nouitiola
paraturam	paratura
viri	uir
opinionibus	opinio
philosophicas	philosophicus
sententias	sententia
adulteraverunt	adultero
una	unus
via	uia
obliquos	obliquus
inexplicabiles	inexplicabilis
tramites	trames
sciderunt	scindo
suggesserim	suggedio
nota	notus2
varietas	uarietas
sectae	secta
philosophis	philosophus1
adaequare	adaequo
varietate	uarietas
defensionum	defensio
iudicet	iudico
veritatem	ueritas
expedite	expedite
praescribimus	praescribo
adulteris	adulter1
regulam	regula
veritatis	ueritas
veniat	uenio
christo	christus
transmissa	transmitto
comites	comes
aliquanto	aliquanto
posteriores	posterus
diversi	diuersus
commmentatores	commmentator
probabuntur	probo
veritatem	ueritas
veritate	ueritas
constructa	construo
operantibus	operor
aemulationem	aemulatio
spiritibus	spiritus
erroris	error
adulteria	adulterium
huiusmodi	huiusmodi
salutaris	salutaris
disciplinae	disciplina
subornata	suborno
fabulae	fabula1
inmissae	immitto
similitudine	similitudo
fidem	fides2
infirmarent	infirmo
veritatis	ueritas
evincerent	euinco
putet	puto
christianis	christianus1
credendum	credo
poetis	poeta
philosophis	philosophus1
poetis	poeta
philosophis	philosophus1
existimet	existimo
credendum	credo
christianis	christianus1
ridemur	rideo
praedicantes	praedico1
deum	deus
iudicaturum	iudico
poetae	poeta
philosophi	philosophus1
tribunal	tribunal
inferos	inferi
ponunt	pono
gehennam	gehenna
comminemur	comminor
ignis	ignis
arcani	arcanum
subterraneam	subterraneus
poenam	poena
thesaurus	thesaurus
decachinnamur	decachinno
pyriphlegethon	pyriphlegethus
mortuos	mortuus2
amnis	amnis
paradisum	paradisus
nominemus	nomino
